HRR Number,HRR Name,Medicare enrollees (2008),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2008),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2008)
10,AK-Anchorage,48049,4.89363187967375,4.94585967046455
1,AL-Birmingham,297142,5.70141311521121,5.87446142273283
2,AL-Dothan,53310,5.36975622941414,5.48847869740536
5,AL-Huntsville,76759,5.29234892471445,5.44232720759222
6,AL-Mobile,103874,5.28389178667203,5.45963523375501
7,AL-Montgomery,54482,5.26520118000138,5.53644272645866
9,AL-Tuscaloosa,31373,5.39481324055824,5.56163258702283
16,AR-Fort Smith,50174,6.01725679451368,6.27887298024248
18,AR-Jonesboro,32631,5.65618295022893,5.73997094761076
19,AR-Little Rock,212987,5.47334451748653,5.57889004915549
21,AR-Springdale,58818,4.99592895706724,5.22401628781205
22,AR-Texarkana,35757,5.74128937532815,5.78956531701078
11,AZ-Mesa,128335,4.53016210236807,4.44984235999051
12,AZ-Phoenix,338593,4.79174906068,4.69455673997938
14,AZ-Sun City,82547,3.97554836518722,3.91921807617332
15,AZ-Tucson,164719,4.43520900881793,4.44300827438441
65,CA-Alameda County,151942,3.96233910834529,4.02539133695907
25,CA-Bakersfield,95162,4.98590395657574,5.06109320780014
31,CA-Chico,44044,4.96397035462895,5.03422391616241
33,CA-Contra Costa County,112527,4.15651799211215,4.30575763811433
43,CA-Fresno,111645,4.47879673709777,4.72029916149036
56,CA-Los Angeles,959685,3.90141579990016,3.9001519918494
58,CA-Modesto,91326,4.69093237519892,4.90171795016952
62,CA-Napa,40052,4.76722864293503,4.99754482011548
23,CA-Orange County,334505,4.0459828379035,4.07907401837921
69,CA-Palm Springs/Rancho Mirage,65315,4.35263422215491,4.36393709708857
73,CA-Redding,51011,5.20696723122249,5.33131691632729
77,CA-Sacramento,293295,4.32777012372167,4.44321553152128
78,CA-Salinas,38516,3.82788301649359,3.85703614495209
79,CA-San Bernardino,265965,4.82703323990903,5.0728974127917
80,CA-San Diego,375912,4.09811373646268,4.22602369824005
81,CA-San Francisco,177909,3.83110831728385,3.89403095109647
82,CA-San Jose,171340,3.66730577376679,3.64878065343155
83,CA-San Luis Obispo,34872,4.16954594873096,4.27225211995434
85,CA-San Mateo County,97523,3.58273786671564,3.52998990710697
86,CA-Santa Barbara,53435,3.89624237746334,4.04568170342238
87,CA-Santa Cruz,27101,4.150137977089,4.3161893749548
89,CA-Santa Rosa,60949,4.30070575502672,4.64141464719959
91,CA-Stockton,55161,4.82811202608447,5.05137040741049
96,CA-Ventura,92642,4.08027890259707,4.19940617634305
101,CO-Boulder,27709,4.4296433607073,4.61360054830405
102,CO-Colorado Springs,86654,4.59311926092251,4.6742065349809
103,CO-Denver,262532,4.55717312976075,4.7026583235331
104,CO-Fort Collins,34002,4.07141681831536,4.20811134859876
105,CO-Grand Junction,41365,4.62023813188453,4.75978673136065
106,CO-Greeley,39711,4.52771572651493,4.79375336056732
107,CO-Pueblo,25038,4.88049484865752,4.87825127623012
109,CT-Bridgeport,85892,4.1859943782666,4.35219327774934
110,CT-Hartford,201506,4.36304743967152,4.51274896357369
111,CT-New Haven,195103,4.38705720177452,4.57158103798691
113,DC-Washington,274364,4.33252518490631,4.31463985158712
112,DE-Wilmington,92364,5.03495915892988,5.05643976959127
115,FL-Bradenton,57577,4.34259459164577,4.63712415661538
116,FL-Clearwater,97287,4.41417430417315,4.74979980946463
118,FL-Fort Lauderdale,437161,4.00642282204009,4.15519146650242
119,FL-Fort Myers,216533,4.02772458856706,4.19000962548281
120,FL-Gainesville,72280,5.15444411267328,5.30423326106725
122,FL-Hudson,91988,4.93874858238614,5.25470847096124
123,FL-Jacksonville,177776,5.14752275398505,5.31319266342315
124,FL-Lakeland,52063,4.74266754094457,4.94746493823038
127,FL-Miami,384891,4.17639522075541,4.88624168975582
129,FL-Ocala,135668,4.34680219535853,4.56707481684115
130,FL-Orlando,498649,4.43662563694452,4.69261066242025
131,FL-Ormond Beach,81100,4.6060112613306,4.88674169100886
133,FL-Panama City,28854,5.3364708191318,5.49808353003372
134,FL-Pensacola,103142,5.0405138553874,5.23754443859501
137,FL-Sarasota,99284,3.898427221813,4.05595666304723
139,FL-St. Petersburg,67460,4.89464163909612,5.1523194431839
140,FL-Tallahassee,88457,5.37254038189627,5.61801906867535
141,FL-Tampa,149952,4.78796114910918,5.21507601751144
142,GA-Albany,24188,4.90804635476198,5.02559068425344
144,GA-Atlanta,533725,4.96958630126295,5.03285189853953
145,GA-Augusta,79031,5.27411548213123,5.36476024148489
146,GA-Columbus,37257,5.6312265452837,5.75685389389405
147,GA-Macon,85388,5.51244541085506,5.49204282622308
148,GA-Rome,37025,6.14198283097447,6.0844294911527
149,GA-Savannah,96274,5.16876992801464,5.2812848106308
150,HI-Honolulu,171720,3.80342937520274,4.07381135506015
190,IA-Cedar Rapids,39518,4.48166840398466,4.76500664977684
191,IA-Davenport,73755,4.81457152112772,4.96475550329004
192,IA-Des Moines,144442,4.76719363636798,4.94062572912711
193,IA-Dubuque,24685,4.55756443426237,4.92098154631234
194,IA-Iowa City,43660,4.88179322805437,5.05023544545241
195,IA-Mason City,24959,4.54293340855819,4.61141814082373
196,IA-Sioux City,37845,4.78240701542198,5.01236853846459
197,IA-Waterloo,32254,4.63982713648197,4.97027460375235
151,ID-Boise,96634,4.51305262016026,4.95097375747034
152,ID-Idaho Falls,22113,4.87912093898494,5.15840292262283
154,IL-Aurora,24528,4.68188868541788,4.87465599528778
175,IL-Bloomington,21750,4.77683495252249,5.06028763032941
155,IL-Blue Island,109660,4.92847036074485,5.01820329503004
156,IL-Chicago,240157,4.414654074056,4.50308097202201
158,IL-Elgin,71254,4.74765665996222,4.81357671189926
161,IL-Evanston,136441,4.02723560896313,4.08694762850476
163,IL-Hinsdale,47955,4.58290108332326,4.64504578412081
164,IL-Joliet,69601,5.03440432472,5.10932528666859
166,IL-Melrose Park,145284,4.56819123552434,4.65814313430664
170,IL-Peoria,94841,5.08201115903778,5.24867569192771
171,IL-Rockford,97502,4.8202275228731,5.08567251852329
172,IL-Springfield,127684,5.08003110797109,5.20613382930757
173,IL-Urbana,58641,4.98508264420203,5.23173866639187
179,IN-Evansville,99772,5.43800135218594,5.70801514424132
180,IN-Fort Wayne,110834,4.91273746856066,5.38172016095646
181,IN-Gary,64866,5.18602219876019,5.26680760240816
183,IN-Indianapolis,333862,5.20761081182591,5.41795754169847
184,IN-Lafayette,24986,5.02031168508831,5.19291377527843
185,IN-Muncie,24280,5.16253277281347,5.31882574064259
186,IN-Munster,39650,5.05691146463348,5.15481329999994
187,IN-South Bend,88948,4.94497781675402,5.21533444088828
188,IN-Terre Haute,24916,5.62225326267064,5.75047985347285
200,KS-Topeka,57109,4.95597950718143,5.0479196409906
