HSA #,HSA name,State,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
2001,Anchorage,AK,22574,8259.08,6799.02,3819.87,3077.8,2513.62,2087.45,1320.32,1105.65,217.12,183.59,220.25,199.76,127.57,113.65
2002,Cordova,AK,239,9763.14,7578.28,5126.63,3711.01,1837.57,1562.97,2300.07,1900.58,,,,,92.43,76.96
2003,Fairbanks,AK,7894,7994.34,6163.51,3739.12,2503.8,2186.45,1869.47,1453.25,1221.55,192.79,166.88,273.1,264.51,93.51,86.35
2004,Homer,AK,1694,9684.72,7807.27,4331.15,3305.22,1499.63,1278.25,3232.98,2681.13,170.86,143.98,,,165.69,152.97
2005,Juneau,AK,3771,7692.38,6499.45,3434.42,2826.32,1957.92,1710.25,1705.74,1433.87,204.97,176.69,205.1,198.99,77.19,69.49
2006,Ketchikan,AK,2091,9079.18,7409.59,3976.68,3011.89,1796.81,1622.12,2482.1,2080.87,390.77,319.8,74.45,69.4,89.05,79.34
2007,Kodiak,AK,962,11516.54,8790.48,5602.82,3465.29,3223.23,3028.02,2209.18,1849.51,,,,,122.97,117.5
2008,Nome,AK,373,13270.5,9401.06,5111.21,2768.83,1449.34,1130.29,4914.32,4038.89,,,,,45.81,42.42
2009,Palmer,AK,7619,8668.82,7027.7,4092.07,3139.17,2578.08,2165.94,1307.19,1095.42,257.92,215.43,222.35,210.43,158.77,151.29
2010,Petersburg,AK,505,9925.45,8452.07,5030.16,4232.97,1455.93,1341.32,2914.53,2424.77,131.21,112.98,,,78.19,85.18
2011,Seward,AK,402,9270.21,7110.73,4620.95,3187.08,1982.7,1694.74,2258.03,1873.04,,,,,138.16,117.24
2012,Sitka,AK,951,11837.04,9452.12,4970.59,3639.55,1973.41,1733.17,4061.49,3384.7,152.25,125.72,,,79.61,66.14
2013,Soldotna,AK,4693,8745.53,7424.63,4008.55,3452.58,2250.37,1876.5,1898.38,1594.39,241.39,202.08,78.59,68.47,134.61,121.6
2014,Valdez,AK,293,13175.16,7837.31,8295.85,3525.73,1780.61,1492.38,2505.93,2081.22,,,,,111.41,106.44
2015,Wrangell,AK,372,12687.4,9702.87,7120.37,4946.3,1476.4,1313.08,3579.45,3002.09,,,,,54.89,56.41
2016,Barrow,AK,354,12751.25,6898.96,8087.72,3198.37,1802.79,1496.15,2040.55,1684.5,,,,,56.53,52.88
2017,Bethel,AK,1152,9137.54,6480.36,4860.42,3008.69,2756.88,2335.13,1278.01,1051.74,,,,,44.12,37.39
2018,Dillingham,AK,340,13960.32,7596.27,9397.36,4124.43,2252.82,1869.69,1550.03,1278.94,,,,,37.61,30.56
2019,Kotzebue,AK,355,12060.6,7667.11,6775.89,3487.53,3256.9,2706.92,1699.36,1399.78,,,,,21.45,19.37
