HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2001),Total Medicare reimbursements per enrollee (Part A and B) (2001),Total Part A Medicare reimbursements per enrollee (2001),Total Part B Medicare reimbursements per enrollee (2001),Medicare reimbursements for inpatient short stays per enrollee (2001),Medicare reimbursements for inpatient long stays per enrollee (2001),Medicare reimbursements for outpatient services per enrollee (2001),Part B Medicare reimbursements for professional & laboratory services per enrollee (2001),Part B Medicare reimbursements for medical & surgical services per enrollee (2001),Part B Medicare reimbursements for medical care per enrollee (2001),Part B Medicare reimbursements for surgical services per enrollee (2001),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2001)",Part B Medicare reimbursements for durable medical equipment per enrollee (2001),Medicare reimbursements for home health services per enrollee (2001),Medicare reimbursements for hospice services per enrollee (2001),Medicare reimbursements for skilled nursing facilities per enrollee (2001)
1001,AL-Alabaster,326.83251953125,5879.77079204938,2924.77274642573,2945.88584881519,2195.23298064739,,667.156449316423,1537.10332337,1163.35231507069,782.175443914704,381.067019705628,373.697644084773,239.968167151465,,,
1002,AL-Alexander City,197.082962036133,5161.19851177622,2524.94731587094,2650.17723644122,2001.31276194517,,823.863647490763,1280.68681255775,890.331793300756,589.860607822843,301.187645137523,391.95153677591,216.140591923309,,,
1003,AL-Andalusia,210.666564941406,5854.63513098355,3365.60378318911,2489.22539012125,2804.94775257978,,567.753932732317,1377.08357853858,1035.43738816051,676.584369613594,359.347188608459,341.680802441018,135.09558880905,,,
1004,AL-Anniston,613.665878295898,6124.68721214232,3391.41337874304,2729.73848183601,2734.58591906066,,484.167594487511,1448.92202633857,1113.01446729656,758.500352276913,354.524366285985,335.96020786176,206.835058565548,381.191003037721,,336.018582125158
1006,AL-Ashland,79.9999389648438,6002.29501923098,,2188.16082569868,,,381.975046088954,1083.43056970752,840.35471820396,581.402172560021,258.795570517389,242.843098692518,,,,
1007,AL-Athens,297.499603271484,6874.43894400857,4040.90316818301,2834.2376112169,2988.97318720073,,491.062290849743,1656.8332945537,1302.50254202097,926.986735791692,375.64695446847,354.614977457813,132.644797313144,,,
1008,AL-Atmore,89.3331756591797,8358.94996488998,,2211.79953954253,,,327.170168949814,1335.82047520701,1036.86651640349,721.803398248603,314.342282788181,298.721691564484,,,,
1010,AL-Bessemer,398.914596557617,6012.33657237653,3580.939973324,2430.303870506,2607.40159959753,,458.197940053812,1378.08663400451,1082.32581908371,736.432670129678,345.965569345361,295.288842736228,140.700802554495,283.121903816073,,
1011,AL-Birmingham,3340.32484436035,6287.54492658731,3680.79575015004,2606.28269853364,2573.3318476021,387.543754455912,516.978003845516,1506.32219781836,1127.53971774924,741.106848539168,387.555478008133,379.101714114442,194.846391736208,321.819689407239,105.865801888967,432.08805229388
1012,AL-Boaz,378.999435424805,6885.60185588351,4439.97324520939,2453.56836025218,3330.01111063517,,548.880357207026,1400.80225742875,1094.20445949018,737.983964088158,356.007567072621,306.963370528637,176.525228557455,332.599072057335,,
1013,AL-Brewton,125.416442871094,5139.51190734146,2637.83346977993,2503.55458881607,1832.62011983094,,922.683800396049,1061.95875633128,785.297056080627,488.955348369201,296.711183907644,276.770571037852,,,,
1014,AL-Bridgeport,74.3331604003906,5277.7247272766,,2043.84001574275,,,361.945392422488,1180.17509126529,874.278555444333,498.256224694506,376.877489187489,305.825041309364,,,,
1016,AL-Camden,51.583251953125,6106.28378737029,,2739.77265162381,,,613.178563964636,1356.75056900613,1069.75202034568,609.131670410756,476.655652500638,284.692182557169,,,,
1017,AL-Carrollton,125.41650390625,6956.65604613987,4246.41558260333,2705.25794341432,2862.56255506319,,607.729490078791,1353.04777542681,1076.6920575394,745.383970188661,330.023622555313,274.713240559429,107.158967279746,,,
1018,AL-Centre,148.332992553711,6125.49100969862,3634.56518317806,2492.80188931404,3038.89743490355,,523.745214541211,1552.11559409821,1160.04889552921,770.517415457443,389.02274993435,391.820122238191,120.313158704054,,,
1019,AL-Centreville,58.4999542236328,5687.75079404444,,2873.6987694432,,,1035.65494608448,1267.59151059548,970.663509777843,627.075372912764,347.469756561035,296.6755859023,,,,
1022,AL-Cullman,561.915725708008,6525.73249413597,3755.83533178513,2769.05722540564,2533.69313875951,,687.717443875622,1322.72784147681,994.319534617119,646.319829390871,346.926097083457,328.25238751191,260.324711874505,441.457888599112,,623.514381541704
