HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2005),Total Medicare reimbursements per enrollee (Part A and B) (2005),Total Part A Medicare reimbursements per enrollee (2005),Total Part B Medicare reimbursements per enrollee (2005),Medicare reimbursements for inpatient short stays per enrollee (2005),Medicare reimbursements for inpatient long stays per enrollee (2005),Medicare reimbursements for outpatient services per enrollee (2005),Part B Medicare reimbursements for professional & laboratory services per enrollee (2005),Part B Medicare reimbursements for medical & surgical services per enrollee (2005),Part B Medicare reimbursements for medical care per enrollee (2005),Part B Medicare reimbursements for surgical services per enrollee (2005),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2005)",Part B Medicare reimbursements for durable medical equipment per enrollee (2005),Medicare reimbursements for home health services per enrollee (2005),Medicare reimbursements for hospice services per enrollee (2005),Medicare reimbursements for skilled nursing facilities per enrollee (2005)
49001,VA-Abingdon,295.24951171875,7140.63869336601,3884.48608111407,3254.81129902549,2356.97431204794,,776.738017833241,1506.05393525624,1165.8614272493,875.486105990794,291.514169804485,340.891099292613,319.37692510896,,,
49002,VA-Alexandria,987.998870849609,6823.22384777204,3566.17559191634,3257.85113397841,2529.94709467968,109.887805900211,777.340850479079,2001.48801298088,1450.68296194248,1073.01636395996,377.012917598959,550.9118565886,105.307312068763,320.824928897298,,479.514861075804
49003,VA-Arlington,720.49919128418,6768.24959237382,3565.92151769174,3209.12816372303,2542.7879498757,,809.491811628526,1929.47885654096,1414.82322494962,994.437159332476,420.789443141737,514.7313880683,79.0255754601888,338.426479883416,,612.31504863589
49004,VA-Bedford,186.999542236328,5080.16924128827,2274.05158450805,2803.24433239217,1581.28712166858,,782.105413684471,1603.09779479863,1290.71989216647,1003.21302084579,287.772879528207,312.885224456697,190.159864969237,,,
49005,VA-Big Stone Gap,65.6665649414063,4859.07270744612,,2624.22679995347,,,1004.87346931019,1106.28008579686,801.333845931457,622.864666906848,181.378278060189,304.496961738023,,,,
49006,VA-Blacksburg,292.749755859375,5773.88679595691,3217.35615283146,2556.90447223447,2373.3699343064,,602.253448988178,1454.68873992818,1098.00723269911,776.358132017135,321.498436582421,356.834290303206,217.523359755135,263.95721899327,,
49007,VA-Charlottesville,1296.3318939209,5846.02821739614,3155.90376427699,2690.02380282461,2183.27889716097,233.592396492299,968.468915505529,1262.73008800366,1028.63433018348,749.266394643759,279.28329956175,234.089410879032,137.009407912272,249.445069922583,,438.590416903101
49008,VA-Chesapeake,568.748733520508,7008.6720387887,3507.76323729144,3503.58368008676,2394.89518852376,,971.188440579775,1877.16775174886,1484.96766046411,1120.62825578189,361.944759247714,391.466359057589,234.511169785053,358.685428548811,,565.387026184011
49009,VA-Clintwood,63.333251953125,2919.06661428188,,1833.1085731064,,,632.30997965844,662.257698420437,479.431895734571,376.204291285966,103.925003257666,182.653639615962,,,,
49010,VA-Culpeper,243.416290283203,8444.19391535249,5279.49572305994,3157.73208275817,3928.8125175419,,906.763196305433,1700.0731738881,1292.77458636789,955.040630013695,337.288852744665,407.160174204053,145.19337297716,,,
