year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit,nbad
2013,DEFIB,ALL,1001,AL- ALABASTER,7989,12,13,13.5787813574048,0.957376045598586,-1.62723745149581,-1.64916372023268,-0.36908146448049,-0.957564256341761,-2.84026994336868,1000,hsa,11,26,0
2013,DEFIB,ALL,1002,AL- ALEXANDER CITY,3242,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,1003,AL- ANDALUSIA,4266,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,1004,AL- ANNISTON,13839,26,27,23.6739692868167,1.14049315824007,1.95100802081075,1.97038282697167,0.306008173114565,1.35118090018936,2.87334470482877,1000,hsa,11,26,0
2013,DEFIB,ALL,1006,AL- ASHLAND,1803,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,1007,AL- ATHENS,7720,13,14,13.1654228878896,1.06339159168811,-1.81347150259067,-1.83223256014675,-0.395138299730106,-1.08510480118064,-3.09378057382963,1000,hsa,11,26,0
2013,DEFIB,ALL,1008,AL- ATMORE,2241,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,1010,AL- BESSEMER,7612,18,18,13.0228007911965,1.38219114986142,-2.3646873357856,-2.39481347567003,-0.455511942992247,-1.50873515623171,-3.80128451276705,1000,hsa,11,26,0
2013,DEFIB,ALL,1011,AL- BIRMINGHAM,66736,115,116,113.150755701489,1.02518095686456,1.73819228002877,1.77387930240888,0.132986005038073,1.47854945202732,2.12819921254582,1000,hsa,11,26,0
2013,DEFIB,ALL,1012,AL- BOAZ,8285,24,24,13.7056046965789,1.75110843565995,-2.89680144840072,-3.00977247441346,-0.495777221319315,-2.01725347065231,-4.49062573421061,1000,hsa,11,26,0
