year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2012,OB,ALL,0,NOT FOUND,2907,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,1,AL-Alabama,521544,81,87,232.328705446925,0.374469439033115,0.16681238783305,0.162697225954843,0.0153514149588213,0.131815191839282,0.200814389935233,1000,state,11,26
2012,OB,ALL,2,AK-Alaska,55658,0,0,25.444374803721,0,0,-0.00000000243251777061029,-0.00000561617000025383,0,-99999,1000,state,11,26
2012,OB,ALL,4,AZ-Arizona,511555,99,173,227.727101286552,0.759681210636024,0.338184554935442,0.325275750480967,0.0218039197161469,0.280097319176908,0.377741258509265,1000,state,11,26
2012,OB,ALL,5,AR-Arkansas,350271,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,6,CA-California,2427746,374,609,1050.71954155228,0.57960281113673,0.250849965358814,0.249289149346575,0.00896165514791838,0.230077979236484,0.270104423674826,1000,state,11,26
2012,OB,ALL,8,CO-Colorado,347103,12,20,153.101549906708,0.130632250373605,-0.0576197843291473,-0.0559704321287528,-0.0110000506083663,-0.0361036664200723,-0.0867692836575088,1000,state,11,26
2012,OB,ALL,9,CT-Connecticut,360675,68,131,148.37125798624,0.882920329570494,0.363207874124905,0.38130635642607,0.0293153415668002,0.321210018568638,0.4526463343168,1000,state,11,26
2012,OB,ALL,10,DE-Delaware,123922,47,212,55.1556363211217,3.84366882770991,1.71075353851616,1.66418047227316,0.100806099621445,1.45383285645466,1.90496220524899,1000,state,11,26
2012,OB,ALL,11,DC-District of Columbia,48632,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,12,FL-Florida,1929602,1201,2717,823.892974701468,3.29775842667488,1.40806238799504,1.42220695166937,0.0248940938694414,1.36774312350555,1.47883954129671,1000,state,11,26
2012,OB,ALL,13,GA-Georgia,775332,248,303,346.361065814508,0.874809642034854,0.390800328117503,0.380553555683085,0.0193340682560963,0.339777212461787,0.426223429445924,1000,state,11,26
2012,OB,ALL,15,HI-Hawaii,88976,0,0,37.8393901644928,0,0,-0.0000000026426677655098,-0.00000480644261079831,0,-99999,1000,state,11,26
2012,OB,ALL,16,ID-Idaho,136213,34,36,59.2186844695099,0.607916239992386,0.264291954512418,0.26019508603688,0.038127058866126,0.187643656981003,0.360798142004841,1000,state,11,26
2012,OB,ALL,17,IL-Illinois,1395469,120,244,604.365774766126,0.403729016743911,0.174851609028936,0.174641793993065,0.00985914765714023,0.153976444088143,0.198080663504977,1000,state,11,26
2012,OB,ALL,18,IN-Indiana,673206,89,410,291.882391355892,1.40467534918914,0.609026063344652,0.605086394474008,0.0264230959005958,0.548921466715275,0.666998044307613,1000,state,11,26
2012,OB,ALL,19,IA-Iowa,385389,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,20,KS-Kansas,322208,11,21,137.058195087041,0.153219586662903,-0.0651752904955805,-0.0659069778079465,-0.0126399522310022,-0.0429659625207634,-0.101096995596876,1000,state,11,26
2012,OB,ALL,21,KY-Kentucky,478937,15,32,213.373209826463,0.149971967080711,0.0668146332398625,0.0644711704870774,0.0100191300837128,0.0455831856105711,0.0911856371663911,1000,state,11,26
2012,OB,ALL,22,LA-Louisiana,392719,16,57,173.712892720922,0.328127631214877,0.145141946277109,0.143456869107819,0.0167188906042367,0.110614226493493,0.186050871995461,1000,state,11,26
2012,OB,ALL,23,ME-Maine,174814,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,state,11,26
2012,OB,ALL,24,MD-Maryland,595999,54,83,259.253524003227,0.320149939404361,0.139261978627481,0.13980638080799,0.0135072495364493,0.112700140155706,0.173432118962979,1000,state,11,26
2012,OB,ALL,25,MA-Massachusetts,660844,140,213,280.151869416603,0.760301904975889,0.322315100084135,0.32721427125332,0.0197596799191954,0.285974241625378,0.374401480018961,1000,state,11,26
2012,OB,ALL,26,MI-Michigan,992509,102,197,425.602550828321,0.462873165625048,0.198486865106513,0.200278825817483,0.0125723841239321,0.174107425658647,0.230384246502341,1000,state,11,26
2012,OB,ALL,27,MN-Minnesota,305906,0,0,125.89453312092,0,0,-0.000000002745997596436,-0.0000026904855481261,0,-99999,1000,state,11,26
2012,OB,ALL,28,MS-Mississippi,340274,17,18,151.88578279532,0.118510104558348,-0.0528985464654955,-0.0517952520266423,-0.0107311186587299,-0.032626039944516,-0.0822272067669165,1000,state,11,26
