hcpcs_cdH – CPC (Health Care Common Procedure Code System) Code ,Format value long labelH – CPC (Health Care Common Procedure Code System) Long Label,Format value short labelH – CPC (Health Care Common Procedure Code System) Short Label,Nrecs2004# -  of records with this HCPC code in 2004,nppl_any2004# -  of people with this HCPC code in 2004,Nrecs2005 - # of records with this HCPC code in 2005,nppl_any2005 - # of people with this HCPC code in 2005,Nrecs2006 - # of records with this HCPC code in 2006,nppl_any2006 - # of people with this HCPC code in 2006,Nrecs2007 - # of records with this HCPC code in 2007,nppl_any2007 - # of people with this HCPC code in 2007,Nrecs2008 - # of records with this HCPC code in 2008,nppl_any2008 - # of people with this HCPC code in 2008,Nrecs2009 - # of records with this HCPC code in 2009,nppl_any2009 - # of people with this HCPC code in 2009,Nrecs2010 - # of records with this HCPC code in 2010,nppl_any2010 - # of people with this HCPC code in 2010,Nrecs2011 - # of records with this HCPC code in 2011,nppl_any2011 - # of people with this HCPC code in 2011,Nrecs2012 - # of records with this HCPC code in 2012,nppl_any2012 - # of people with this HCPC code in 2012,Nrecs2013 - # of records with this HCPC code in 2013,nppl_any2013 - # of people with this HCPC code in 2013,Nrecs2014 - # of records with this HCPC code in 2014,nppl_any2014 - # of people with this HCPC code in 2014
0001F,"HEART FAILURE ASSESSED (INCLUDES ASSESSMENT OF ALL THE FOLLOWING
COMPONENTS) (CAD): BLOOD PRESSURE MEASURED (2000F) LEVEL OF ACTIVITY
ASSESSED (1003F) CLINICAL SYMPTOMS OF VOLUME OVERLOAD (EXCESS)
ASSESSED (1004F) WEIGHT, RECORDED (2001F) CLINICAL SI",HRT FAILURE ASSESSED,495,350,.,.,20,20,1675,1335,3505,2505,1875,1575,2490,1995,875,630,1415,970,620,305,615,270
0003T,CERVICOGRAPY,CERVICOGRAPY,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0
0005F,"OSTEOARTHRITIS ASSESSED (OA) INCLUDES ASSESSMENT OF ALL THE
FOLLOWING COMPONENTS: OSTEOARTHRITIS SYMPTOMS AND FUNCTIONAL
STATUS ASSESSED (1006F) USE OF ANTI-INFLAMMATORY OR OVER-THE-COUNTER
(OTC) ANALGESIC MEDICATIONS ASSESSED (1007F) INITIAL EXAMINA",OSTEOARTHRITIS COMPOSITE,0,0,0,0,.,.,380,240,610,350,1530,755,1865,885,170,140,40,35,320,145,325,145
0008T,UPR GI W/ESOPH DUO&/JEJUN W/SUTR ESOPG/GASTRIC,UPR GI W/ESOPH DUO&/JEJUN W/SUTR ESOPG/GASTRIC,65,45,30,30,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY",ANESTHESIA SALIVARY GLANDS WITH BIOPSY,15150,10955,13695,9745,12865,9405,12675,8780,12710,8975,13210,9515,11970,8375,12210,8390,12475,8420,12865,8410,12595,8405
00102,ANESTHESIA FOR PROCEDURES INVOLVING PLASTIC REPAIR OF CLEFT LIP,ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR,120,95,70,60,160,95,65,50,90,85,55,40,85,60,130,105,95,70,70,50,85,50
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG,
BLEPHAROPLASTY, PTOSIS SURGERY)",ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE,73220,53500,89750,64420,93560,68230,99365,72205,103400,75500,110040,80615,115750,84085,117165,85315,123135,89825,130690,94245,123755,88785
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,ANESTHESIA ELECTROCONVULSIVE THERAPY,189180,14725,191955,14595,179795,13205,177455,12805,171655,12280,177235,12020,182945,12305,178615,12865,195420,13150,196465,12705,196125,12110
0010T,TB TST CELL IMMU MSR GAMMA INTERFERON ANTIG RSPN,TB TST CELL IMMU MSR GAMMA INTERFERON ANTIG RSPN,65,55,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR
INCLUDING BIOPSY; NOT OTHERWISE SPECIFIED",ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BIOPSY,24675,17140,23760,16855,22465,15770,21340,14865,22125,15250,21795,15015,22435,15315,21805,14580,23010,15200,23990,15850,22915,15165
